time,id,RSSI,tag_id,phase,17:11:41.08,activity,
17:12:33.58,e2001d8712461320db93,-55,3,"174
",00:00:52.50,2,
17:12:33.62,e2001d8712171320c120,-57,1,"168
",00:00:52.54,2,
17:12:33.63,e2001d8712461320db93,-53,3,"174
",00:00:52.55,2,
17:12:33.67,e2001d8712461320db93,-53,3,"174
",00:00:52.59,2,
17:12:33.67,e2001d8712461320db93,-53,3,"174
",00:00:52.59,2,
17:12:33.68,e2001d8712171320c120,-57,1,"168
",00:00:52.60,2,
17:12:33.70,e2001d8712461320db93,-53,3,"171
",00:00:52.62,2,
17:12:33.72,e2001d8712171320c120,-58,1,"174
",00:00:52.64,2,
17:12:33.73,e2001d8712171320c120,-58,1,"168
",00:00:52.65,2,
17:12:33.75,e2001d8712461320db93,-53,3,"171
",00:00:52.67,2,
17:12:33.78,e2001d8712461320db93,-53,3,"171
",00:00:52.70,2,
17:12:33.80,e2001d8712171320c120,-58,1,"174
",00:00:52.72,2,
17:12:33.82,e2001d8712461320db93,-53,3,"171
",00:00:52.74,2,
17:12:33.83,e2001d8712171320c120,-57,1,"174
",00:00:52.75,2,
17:12:33.83,e2001d8712171320c120,-57,1,"168
",00:00:52.75,2,
17:12:33.85,e2001d8712171320c120,-58,1,"171
",00:00:52.77,2,
17:12:33.87,e2001d8712461320db93,-53,3,"174
",00:00:52.79,2,
17:12:33.88,e2001d8712171320c120,-57,1,"174
",00:00:52.80,2,
17:12:33.90,e2001d8712461320db93,-53,3,"171
",00:00:52.82,2,
17:12:33.92,e2001d8712171320c120,-58,1,"174
",00:00:52.84,2,
17:12:33.93,e2001d8712461320db93,-53,3,"168
",00:00:52.85,2,
17:12:33.97,e2001d8712461320db93,-53,3,"174
",00:00:52.89,2,
17:12:33.98,e2001d8712171320c120,-57,1,"168
",00:00:52.90,2,
17:12:34.00,e2001d8712461320db93,-51,3,"171
",00:00:52.92,2,
17:12:34.10,e2001d8712461320db93,-51,3,"174
",00:00:53.02,2,
17:12:34.10,e2001d8712461320db93,-51,3,"174
",00:00:53.02,2,
