time,id,tag_id,RSSI,phase,17:22.6,activity
19:05.6,e2001d8712401320d4a0,2,-56,"171
",01:42.9,2
19:05.6,e2001d8712401320d4a0,2,-57,"174
",01:43.0,2
19:05.6,e2001d8712401320d4a0,2,-58,"171
",01:43.0,2
24:07.5,e2001d8712401320d4a0,2,-61,"174
",06:44.8,5
24:07.5,e2001d8712401320d4a0,2,-58,"174
",06:44.9,5
24:07.6,e2001d8712401320d4a0,2,-58,"174
",06:45.0,5
24:07.7,e2001d8712401320d4a0,2,-58,"174
",06:45.0,5
24:09.3,e2001d8712401320d4a0,2,-58,"174
",06:46.7,5
24:09.5,e2001d8712401320d4a0,2,-55,"174
",06:46.8,5
24:09.5,e2001d8712401320d4a0,2,-55,"174
",06:46.9,5
24:09.6,e2001d8712401320d4a0,2,-56,"171
",06:47.0,5
24:09.7,e2001d8712401320d4a0,2,-55,"174
",06:47.0,5
24:09.7,e2001d8712401320d4a0,2,-55,"174
",06:47.1,5
24:09.8,e2001d8712401320d4a0,2,-55,"174
",06:47.1,5
24:09.8,e2001d8712401320d4a0,2,-55,"171
",06:47.2,5
24:09.9,e2001d8712401320d4a0,2,-55,"171
",06:47.3,5
24:10.0,e2001d8712401320d4a0,2,-52,"174
",06:47.4,5
24:10.1,e2001d8712401320d4a0,2,-53,"174
",06:47.5,5
24:10.2,e2001d8712401320d4a0,2,-53,"174
",06:47.5,5
24:10.2,e2001d8712401320d4a0,2,-52,"171
",06:47.6,5
24:10.3,e2001d8712401320d4a0,2,-55,"177
",06:47.7,5
24:10.4,e2001d8712401320d4a0,2,-55,"168
",06:47.7,5
24:10.4,e2001d8712401320d4a0,2,-55,"174
",06:47.8,5
24:10.5,e2001d8712401320d4a0,2,-52,"174
",06:47.9,5
24:10.5,e2001d8712401320d4a0,2,-55,"174
",06:47.9,5
24:10.6,e2001d8712401320d4a0,2,-55,"174
",06:48.0,5
24:10.6,e2001d8712401320d4a0,2,-55,"168
",06:48.0,5
24:10.7,e2001d8712401320d4a0,2,-55,"168
",06:48.1,5
24:10.7,e2001d8712401320d4a0,2,-55,"174
",06:48.1,5
24:10.8,e2001d8712401320d4a0,2,-55,"174
",06:48.2,5
24:10.9,e2001d8712401320d4a0,2,-56,"171
",06:48.3,5
24:11.0,e2001d8712401320d4a0,2,-55,"171
",06:48.3,5
24:11.1,e2001d8712401320d4a0,2,-57,"174
",06:48.5,5
24:11.2,e2001d8712401320d4a0,2,-57,"174
",06:48.6,5
24:11.2,e2001d8712401320d4a0,2,-57,"174
",06:48.6,5
24:11.2,e2001d8712401320d4a0,2,-57,"174
",06:48.6,5
24:11.3,e2001d8712401320d4a0,2,-57,"174
",06:48.7,5
24:11.3,e2001d8712401320d4a0,2,-58,"2
",06:48.7,5
24:11.3,e2001d8712401320d4a0,2,-57,"171
",06:48.7,5
24:11.4,e2001d8712401320d4a0,2,-59,"174
",06:48.7,5
24:11.5,e2001d8712401320d4a0,2,-58,"174
",06:48.9,5
24:11.6,e2001d8712401320d4a0,2,-57,"174
",06:49.0,5
24:11.6,e2001d8712401320d4a0,2,-57,"174
",06:49.0,5
24:11.7,e2001d8712401320d4a0,2,-57,"171
",06:49.0,5
24:11.7,e2001d8712401320d4a0,2,-57,"171
",06:49.1,5
24:11.7,e2001d8712401320d4a0,2,-57,"174
",06:49.1,5
24:11.8,e2001d8712401320d4a0,2,-57,"174
",06:49.1,5
24:11.8,e2001d8712401320d4a0,2,-57,"168
",06:49.2,5
24:11.8,e2001d8712401320d4a0,2,-57,"168
",06:49.2,5
24:11.8,e2001d8712401320d4a0,2,-57,"171
",06:49.2,5
24:11.9,e2001d8712401320d4a0,2,-56,"171
",06:49.2,5
24:12.3,e2001d8712401320d4a0,2,-58,"168
",06:49.7,5
24:12.4,e2001d8712401320d4a0,2,-58,"174
",06:49.8,5
24:12.4,e2001d8712401320d4a0,2,-57,"171
",06:49.8,5
