time,id,RSSI,phase,,18:05:03.36,
18:08:17.38,e2001d8712461320db93,-52,"174
",00:03:14.02,,
18:08:17.38,e2001d8712461320db93,-52,"174
",00:03:14.02,,
18:08:17.42,e2001d8712461320db93,-53,"174
",00:03:14.06,,
18:08:17.43,e2001d8712171320c120,-55,"171
",00:03:14.07,,
18:08:17.47,e2001d8712461320db93,-52,"174
",00:03:14.11,,
18:08:17.48,e2001d8712171320c120,-55,"171
",00:03:14.12,,
18:08:17.50,e2001d8712461320db93,-52,"171
",00:03:14.14,,
18:08:17.52,e2001d8712171320c120,-55,"171
",00:03:14.16,,
18:08:17.53,e2001d8712461320db93,-52,"171
",00:03:14.17,,
18:08:17.53,e2001d8712461320db93,-52,"171
",00:03:14.17,,
18:08:17.57,e2001d8712461320db93,-52,"171
",00:03:14.21,,
18:08:17.58,e2001d8712171320c120,-55,"171
",00:03:14.22,,
18:08:17.60,e2001d8712461320db93,-52,"171
",00:03:14.24,,
18:08:17.62,e2001d8712171320c120,-55,"174
",00:03:14.26,,
18:08:17.63,e2001d8712461320db93,-52,"171
",00:03:14.27,,
18:08:17.65,e2001d8712171320c120,-55,"174
",00:03:14.29,,
18:08:17.67,e2001d8712171320c120,-56,"171
",00:03:14.31,,
18:08:17.68,e2001d8712461320db93,-52,"177
",00:03:14.32,,
18:08:17.68,e2001d8712461320db93,-52,"177
",00:03:14.32,,
18:08:17.72,e2001d8712461320db93,-52,"171
",00:03:14.36,,
18:08:17.73,e2001d8712171320c120,-56,"174
",00:03:14.37,,
18:08:17.75,e2001d8712461320db93,-53,"174
",00:03:14.39,,
18:08:17.77,e2001d8712171320c120,-58,"174
",00:03:14.41,,
18:08:17.78,e2001d8712461320db93,-53,"174
",00:03:14.42,,
18:08:17.80,e2001d8712461320db93,-55,"174
",00:03:14.44,,
18:08:17.80,e2001d8712461320db93,-55,"174
",00:03:14.44,,
18:08:17.83,e2001d8712461320db93,-55,"174
",00:03:14.47,,
18:08:17.83,e2001d8712461320db93,-55,"174
",00:03:14.47,,
18:08:17.87,e2001d8712461320db93,-55,"171
",00:03:14.51,,
18:08:17.87,e2001d8712461320db93,-55,"171
",00:03:14.51,,
18:08:17.90,e2001d8712461320db93,-55,"174
",00:03:14.54,,
18:08:17.90,e2001d8712461320db93,-55,"174
",00:03:14.54,,
18:08:17.93,e2001d8712461320db93,-56,"171
",00:03:14.57,,
18:08:17.93,e2001d8712461320db93,-56,"171
",00:03:14.57,,
18:08:17.97,e2001d8712461320db93,-57,"168
",00:03:14.61,,
18:08:17.98,e2001d8712461320db93,-56,"171
",00:03:14.62,,
18:08:18.32,e2001d8712461320db93,-55,"171
",00:03:14.96,,
18:08:18.05,e2001d8712401320d4a0,-55,"171
",00:03:14.69,,
18:08:18.05,e2001d8712401320d4a0,-55,"171
",00:03:14.69,,
18:08:18.08,e2001d8712401320d4a0,-55,"168
",00:03:14.72,,
18:08:18.10,e2001d8712461320db93,-53,"174
",00:03:14.74,,
18:08:18.15,e2001d8712171320c120,-57,"174
",00:03:14.79,,
18:08:18.17,e2001d871271320b9f,-55,"171
",00:03:14.81,,
18:08:18.18,e2001d8712461320db93,-51,"174
",00:03:14.82,,
18:08:18.20,e2001d871271320b9f,-53,"171
",00:03:14.84,,
18:08:18.23,e2001d8712171320c120,-57,"168
",00:03:14.87,,
18:08:18.28,e2001d8712401320d4a0,-55,"171
",00:03:14.92,,
18:08:18.30,e2001d8712171320c120,-55,"174
",00:03:14.94,,
18:08:18.35,e2001d8712461320db93,-55,"174
",00:03:14.99,,
18:08:18.37,e2001d8712401320d4a0,-56,"171
",00:03:15.01,,
18:08:18.04,e2001d8712401320d4a0,-55,"171
",00:03:14.68,,
18:08:18.04,e2001d8712401320d4a0,-55,"171
",00:03:14.68,,
18:08:18.05,e2001d8712461320db93,-55,"174
",00:03:14.69,,
18:08:18.06,e2001d8712461320db93,-53,"174
",00:03:14.70,,
18:08:18.06,e2001d8712461320db93,-53,"174
",00:03:14.70,,
18:08:18.07,e2001d871271320b9f,-52,"174
",00:03:14.71,,
18:08:18.08,e2001d871271320b9f,-52,"174
",00:03:14.72,,
18:08:18.08,e2001d8712461320db93,-53,"171
",00:03:14.72,,
18:08:18.09,e2001d871271320b9f,-53,"174
",00:03:14.73,,
18:08:18.09,e2001d8712401320d4a0,-55,"174
",00:03:14.73,,
18:08:18.09,e2001d8712401320d4a0,-55,"174
",00:03:14.73,,
18:08:18.09,e2001d8712461320db93,-56,"174
",00:03:14.73,,
18:08:18.10,e2001d871271320b9f,-53,"174
",00:03:14.74,,
18:08:19.00,e2001d871271320b9f,-55,"171
",00:03:15.64,,
18:08:19.00,e2001d871271320b9f,-55,"171
",00:03:15.64,,
18:08:19.34,e2001d8712401320d4a0,-55,"174
",00:03:15.98,,
18:08:19.84,e2001d8712401320d4a0,-52,"171
",00:03:16.48,,
18:08:19.10,e2001d8712461320db93,-53,"171
",00:03:15.74,,
18:08:19.12,e2001d8712401320d4a0,-52,"174
",00:03:15.76,,
18:08:19.13,e2001d8712461320db93,-53,"171
",00:03:15.77,,
18:08:19.15,e2001d871271320b9f,-52,"171
",00:03:15.79,,
18:08:19.18,e2001d8712461320db93,-52,"168
",00:03:15.82,,
18:08:19.20,e2001d871271320b9f,-53,"171
",00:03:15.84,,
18:08:19.23,e2001d871271320b9f,-52,"171
",00:03:15.87,,
18:08:19.23,e2001d871271320b9f,-52,"171
",00:03:15.87,,
18:08:19.27,e2001d8712401320d4a0,-55,"174
",00:03:15.91,,
18:08:19.28,e2001d871271320b9f,-53,"174
",00:03:15.92,,
18:08:19.32,e2001d8712461320db93,-55,"174
",00:03:15.96,,
18:08:19.33,e2001d871271320b9f,-55,"174
",00:03:15.97,,
18:08:19.33,e2001d871271320b9f,-55,"174
",00:03:15.97,,
18:08:19.37,e2001d871271320b9f,-55,"171
",00:03:16.01,,
18:08:19.38,e2001d8712401320d4a0,-55,"171
",00:03:16.02,,
18:08:19.42,e2001d871271320b9f,-55,"171
",00:03:16.06,,
18:08:19.43,e2001d8712461320db93,-58,"171
",00:03:16.07,,
18:08:19.43,e2001d8712461320db93,-58,"171
",00:03:16.07,,
18:08:19.47,e2001d8712401320d4a0,-58,"174
",00:03:16.11,,
18:08:19.48,e2001d8712461320db93,-56,"171
",00:03:16.12,,
18:08:19.52,e2001d8712401320d4a0,-57,"171
",00:03:16.16,,
18:08:19.53,e2001d871271320b9f,-56,"174
",00:03:16.17,,
18:08:19.57,e2001d871271320b9f,-57,"171
",00:03:16.21,,
18:08:19.58,e2001d8712401320d4a0,-57,"174
",00:03:16.22,,
18:08:19.62,e2001d8712401320d4a0,-59,"174
",00:03:16.26,,
