time,activity,mean,variance,tag_id
06:25.5,3,-49,0,3
06:25.6,3,-55,0,1
06:25.6,3,-49,0,3
06:25.7,3,-50,2,3
06:25.8,3,-57,0,1
06:25.8,3,-52,0,3
06:25.9,3,-57,0,1
06:25.9,3,-52,0,3
06:26.0,3,-58,0,1
06:26.0,3,-49,0,3
06:26.2,3,-52,0,3
06:26.2,3,-52,0,3
06:26.3,3,-52,0,3
06:26.4,3,-52,0,3
06:26.5,3,-51,0,3
06:26.6,3,-51,0,3
06:26.7,3,-51,0,3
06:26.8,3,-52,0,3
06:26.9,3,-52,0,3
06:27.0,3,-52,0,3
06:27.0,3,-51,0,3
06:27.2,3,-56,0,1
06:27.2,3,-49,0,3
06:27.3,3,-57,0,1
06:27.3,3,-49,0,3
06:27.4,3,-47,0,3
06:27.5,3,-55,0,1
06:27.5,3,-49,1,3
06:27.6,3,-54,1,1
06:27.6,3,-47,1,3
06:27.7,3,-55,0,1
06:27.7,3,-48,1,3
06:27.8,3,-56,0,1
06:27.8,3,-49,0,3
06:27.9,3,-55,0,1
06:27.9,3,-49,0,3
06:28.0,3,-55,0,1
06:28.2,3,-58,0,1
06:28.2,3,-49,0,3
06:28.2,3,-49,0,3
06:28.3,3,-58,0,1
06:28.3,3,-49,0,3
06:28.4,3,-51,0,3
06:28.5,3,-51,0,3
06:28.6,3,-52,0,3
06:28.7,3,-52,0,3
06:28.8,3,-52,0,3
06:28.9,3,-52,0,3
06:29.0,3,-56,1,1
06:29.0,3,-51,0,3
06:29.2,3,-51,0,3
06:29.3,3,-51,0,3
06:29.4,3,-58,0,1
06:29.4,3,-52,1,3
06:29.5,3,-53,0,3
06:29.6,3,-52,1,3
06:29.7,3,-55,0,1
06:29.8,3,-54,1,1
06:29.8,3,-51,0,3
06:29.8,3,-51,0,3
06:29.9,3,-54,1,1
06:29.9,3,-51,0,3
06:30.1,3,-57,0,1
06:30.1,3,-51,0,3
06:30.2,3,-57,0,1
06:30.2,3,-51,0,3
06:30.3,3,-56,1,1
06:30.3,3,-55,8,1
06:30.3,3,-51,0,3
06:30.4,3,-50,1,3
06:30.5,3,-53,0,1
06:30.5,3,-49,0,3
06:30.6,3,-52,0,1
06:30.6,3,-49,0,3
06:30.7,3,-54,1,3
06:30.8,3,-56,0,1
06:30.8,3,-55,0,3
06:30.9,3,-55,0,1
06:30.9,3,-55,0,3
06:31.0,3,-57,1,1
06:31.2,3,-58,0,1
06:31.2,3,-53,0,3
06:31.3,3,-52,0,3
06:31.4,3,-52,0,3
06:31.5,3,-55,0,3
06:31.5,3,-52,0,3
06:31.5,3,-52,0,3
06:31.7,3,-51,0,3
06:31.8,3,-51,0,3
06:31.9,3,-51,0,3
06:32.0,3,-49,0,3
06:32.2,3,-56,1,1
06:32.2,3,-49,0,3
06:32.3,3,-49,0,3
06:32.4,3,-57,0,1
06:32.4,3,-49,0,3
06:32.5,3,-57,0,1
06:32.5,3,-49,0,3
06:32.6,3,-55,0,1
06:32.6,3,-49,0,3
06:32.8,3,-55,0,1
06:32.8,3,-49,0,3
06:32.9,3,-55,0,1
06:32.9,3,-49,0,3
06:33.0,3,-57,0,1
06:33.0,3,-55,0,1
06:33.0,3,-49,0,3
06:33.2,3,-57,0,1
06:33.2,3,-49,0,3
06:33.3,3,-60,3,1
06:33.3,3,-49,0,3
06:33.4,3,-49,0,3
06:33.5,3,-51,0,3
06:33.6,3,-49,1,3
06:33.7,3,-49,0,3
06:33.7,3,-50,0,3
06:33.8,3,-58,1,1
06:33.8,3,-50,0,3
06:33.9,3,-51,0,3
06:34.0,3,-51,1,3
06:34.2,3,-52,0,3
06:34.3,3,-52,0,3
06:34.4,3,-52,0,3
06:34.5,3,-57,1,1
06:34.5,3,-53,0,3
06:34.6,3,-55,1,1
06:34.6,3,-52,0,3
06:34.7,3,-55,0,1
06:34.7,3,-51,0,3
06:34.8,3,-55,0,1
06:34.8,3,-52,0,3
06:34.8,3,-52,0,3
06:34.9,3,-51,0,3
06:35.0,3,-55,0,1
06:35.2,3,-55,0,1
06:35.2,3,-51,0,3
06:35.3,3,-55,0,1
06:35.3,3,-51,0,3
06:35.4,3,-55,0,1
06:35.4,3,-51,0,3
06:35.5,3,-52,0,3
06:35.6,3,-55,0,1
06:35.7,3,-56,0,1
06:35.7,3,-51,0,3
06:35.7,3,-53,2,3
06:35.8,3,-55,0,1
06:35.8,3,-55,0,1
06:35.8,3,-54,1,3
06:35.9,3,-57,0,1
06:35.9,3,-53,1,3
06:36.1,3,-54,1,3
06:36.2,3,-55,0,3
06:36.2,3,-53,0,3
06:36.3,3,-59,3,1
06:36.3,3,-52,0,3
06:36.4,3,-52,0,3
06:36.5,3,-52,0,3
06:36.7,3,-58,0,1
06:36.7,3,-51,0,3
06:36.8,3,-50,0,3
06:36.9,3,-57,0,1
06:36.9,3,-49,0,3
06:37.0,3,-57,0,1
06:37.0,3,-49,0,3
06:37.1,3,-47,1,3
06:37.2,3,-55,0,1
06:37.2,3,-48,1,3
06:37.3,3,-55,0,1
06:37.3,3,-47,1,3
06:37.5,3,-57,0,1
06:37.5,3,-49,0,3
06:37.6,3,-55,1,1
06:37.6,3,-49,0,3
06:37.7,3,-56,1,1
06:37.7,3,-55,0,1
06:37.8,3,-55,0,1
06:37.8,3,-49,0,3
06:37.8,3,-48,1,3
06:37.9,3,-55,0,1
06:38.0,3,-48,1,3
06:38.2,3,-56,0,1
06:38.2,3,-49,0,3
06:38.3,3,-56,0,1
06:38.3,3,-49,0,3
06:38.4,3,-57,0,1
06:38.4,3,-50,1,3
06:38.5,3,-56,0,1
06:38.5,3,-57,0,1
06:38.5,3,-51,0,3
06:38.6,3,-57,0,1
06:38.7,3,-57,0,1
06:38.7,3,-50,0,3
06:38.8,3,-49,0,3
06:38.8,3,-51,0,3
06:38.9,3,-57,0,1
06:38.9,3,-51,0,3
06:39.0,3,-57,0,1
06:39.0,3,-52,0,3
06:39.1,3,-58,0,1
06:39.1,3,-52,0,3
06:39.3,3,-57,0,1
06:39.3,3,-52,0,3
06:39.4,3,-57,0,1
06:39.5,3,-57,0,1
06:39.5,3,-53,1,3
06:39.6,3,-52,0,3
06:39.7,3,-55,0,1
06:39.7,3,-51,0,3
06:39.8,3,-57,0,1
06:39.8,3,-50,0,3
06:39.9,3,-55,0,1
06:39.9,3,-50,0,3
06:40.0,3,-56,0,1
06:40.1,3,-57,0,1
06:40.2,3,-51,0,3
06:40.3,3,-57,0,1
06:40.4,3,-52,1,3
06:40.5,3,-57,0,1
06:40.5,3,-51,0,3
06:40.6,3,-55,1,1
06:40.6,3,-52,1,3
06:40.8,3,-55,0,1
06:40.8,3,-50,0,3
