time,id,id_num,RSSI,phase,activity
11:15.7,e2001d8712401320d4a0,2,-55,"171
",5
11:15.2,e2001d871271320b9f,4,-52,"171
",5
11:15.2,e2001d8712401320d4a0,2,-52,"171
",5
11:15.2,e2001d8712401320d4a0,2,-52,"174
",5
11:15.2,e2001d871271320b9f,4,-53,"174
",5
11:15.2,e2001d871271320b9f,4,-53,"174
",5
11:15.3,e2001d8712461320db93,3,-55,"174
",5
11:15.3,e2001d8712401320d4a0,2,-53,"168
",5
11:15.3,e2001d8712461320db93,3,-57,"168
",5
11:15.3,e2001d8712461320db93,3,-56,"171
",5
11:15.4,e2001d8712171320c120,1,-57,"171
",5
11:15.6,e2001d8712461320db93,3,-55,"168
",5
11:15.7,e2001d871271320b9f,4,-51,"174
",5
11:15.7,e2001d8712401320d4a0,2,-52,"171
",5
11:15.8,e2001d871271320b9f,4,-52,"168
",5
11:15.8,e2001d8712401320d4a0,2,-53,"174
",5
11:15.8,e2001d8712401320d4a0,2,-52,"174
",5
11:15.8,e2001d871271320b9f,4,-52,"174
",5
11:15.9,e2001d8712401320d4a0,2,-52,"174
",5
11:15.9,e2001d871271320b9f,4,-52,"174
",5
11:15.9,e2001d871271320b9f,4,-52,"171
",5
11:15.9,e2001d871271320b9f,4,-53,"174
",5
11:16.0,e2001d8712401320d4a0,2,-53,"174
",5
11:16.0,e2001d871271320b9f,4,-55,"171
",5
11:16.0,e2001d8712401320d4a0,2,-53,"168
",5
11:16.3,e2001d871271320b9f,4,-55,"174
",5
11:16.5,e2001d8712401320d4a0,2,-55,"174
",5
11:16.7,e2001d871271320b9f,4,-52,"168
",5
11:16.8,e2001d8712401320d4a0,2,-57,"174
",5
11:16.1,e2001d8712401320d4a0,2,-57,"171
",5
11:16.1,e2001d871271320b9f,4,-55,"174
",5
11:16.1,e2001d871271320b9f,4,-56,"171
",5
11:16.2,e2001d8712401320d4a0,2,-55,"171
",5
11:16.2,e2001d8712401320d4a0,2,-55,"168
",5
11:16.2,e2001d871271320b9f,4,-55,"168
",5
11:16.2,e2001d871271320b9f,4,-55,"171
",5
11:16.3,e2001d8712401320d4a0,2,-55,"171
",5
11:16.3,e2001d8712401320d4a0,2,-51,"174
",5
11:16.3,e2001d871271320b9f,4,-52,"174
",5
11:16.3,e2001d8712401320d4a0,2,-51,"174
",5
11:16.4,e2001d8712461320db93,3,-55,"171
",5
11:16.4,e2001d8712401320d4a0,2,-53,"171
",5
11:16.4,e2001d871271320b9f,4,-56,"174
",5
11:16.5,e2001d8712461320db93,3,-57,"171
",5
11:16.5,e2001d8712401320d4a0,2,-53,"171
",5
11:16.5,e2001d8712461320db93,3,-57,"171
",5
11:16.5,e2001d8712401320d4a0,2,-55,"171
",5
11:16.6,e2001d8712461320db93,3,-57,"171
",5
11:16.6,e2001d8712401320d4a0,2,-55,"171
",5
11:16.6,e2001d8712461320db93,3,-56,"168
",5
11:16.7,e2001d8712401320d4a0,2,-57,"174
",5
11:16.7,e2001d8712461320db93,3,-55,"174
",5
11:16.7,e2001d8712461320db93,3,-56,"171
",5
11:16.7,e2001d8712401320d4a0,2,-57,"171
",5
11:16.7,e2001d8712461320db93,3,-56,"168
",5
11:16.8,e2001d8712401320d4a0,2,-57,"174
",5
11:16.8,e2001d8712401320d4a0,2,-57,"174
",5
11:16.8,e2001d8712461320db93,3,-57,"174
",5
11:16.8,e2001d8712401320d4a0,2,-57,"174
",5
11:16.8,e2001d8712461320db93,3,-56,"171
",5
11:16.9,e2001d8712461320db93,3,-56,"171
",5
11:16.9,e2001d8712401320d4a0,2,-57,"171
",5
11:16.9,e2001d8712461320db93,3,-56,"171
",5
11:16.9,e2001d8712401320d4a0,2,-56,"171
",5
11:16.9,e2001d8712401320d4a0,2,-57,"171
",5
11:17.0,e2001d8712461320db93,3,-56,"171
",5
11:17.0,e2001d8712401320d4a0,2,-57,"174
",5
11:17.0,e2001d8712461320db93,3,-57,"174
",5
11:17.0,e2001d8712401320d4a0,2,-57,"174
",5
11:17.2,e2001d8712461320db93,3,-55,"171
",5
11:17.3,e2001d8712461320db93,3,-55,"171
",5
11:17.5,e2001d8712401320d4a0,2,-57,"171
",5
11:17.8,e2001d8712461320db93,3,-55,"174
",5
11:17.1,e2001d8712401320d4a0,2,-57,"171
",5
11:17.1,e2001d8712461320db93,3,-55,"174
",5
