time,id,RSSI,phase,,,
05:00.5,e2001d8712171320c120,-55,"174
",18:05:01,18:05:00:533,
05:00.6,e2001d8712461320db93,-51,"171
",,,
05:00.6,e2001d8712461320db93,-51,"171
",,,
05:00.6,e2001d871271320b9f,-56,"177
",,,
05:00.7,e2001d871271320b9f,-57,"174
",,,
05:00.7,e2001d8712401320d4a0,-56,"174
",,,
05:00.8,e2001d8712401320d4a0,-55,"174
",,,
05:00.8,e2001d8712401320d4a0,-55,"174
",,,
05:00.8,e2001d8712461320db93,-51,"174
",,,
05:00.9,e2001d8712171320c120,-55,"171
",,,
05:00.9,e2001d8712461320db93,-51,"174
",,,
05:01.0,e2001d8712171320c120,-55,"174
",,,
05:01.0,e2001d8712171320c120,-55,"174
",,,
05:01.0,e2001d8712461320db93,-51,"171
",,,
05:01.5,e2001d871271320b9f,-57,"171
",,,
05:01.7,e2001d8712401320d4a0,-56,"171
",,,
05:01.1,e2001d8712401320d4a0,-57,"171
",,,
05:01.1,e2001d8712171320c120,-55,"171
",,,
05:01.2,e2001d871271320b9f,-56,"174
",,,
05:01.2,e2001d871271320b9f,-57,"171
",,,
05:01.2,e2001d871271320b9f,-57,"171
",,,
05:01.2,e2001d871271320b9f,-57,"171
",,,
05:01.2,e2001d8712461320db93,-51,"174
",,,
05:01.5,e2001d871271320b9f,-52,"171
",,,
05:01.5,e2001d8712171320c120,-53,"174
",,,
05:01.6,e2001d871271320b9f,-52,"171
",,,
05:01.6,e2001d871271320b9f,-52,"171
",,,
05:01.6,e2001d8712171320c120,-53,"174
",,,
05:01.9,e2001d8712461320db93,-50,"174
",,,
05:01.9,e2001d8712461320db93,-50,"174
",,,
05:02.0,e2001d871271320b9f,-52,"171
",,,
05:03.8,e2001d871271320b9f,-57,"171
",,,
05:03.1,e2001d8712401320d4a0,-55,"168
",,,
05:03.1,e2001d8712171320c120,-55,"168
",,,
05:03.2,e2001d8712461320db93,-51,"168
",,,
05:03.2,e2001d8712171320c120,-55,"171
",,,
05:03.2,e2001d8712171320c120,-55,"171
",,,
05:03.4,e2001d871271320b9f,-55,"171
",,,
05:03.5,e2001d8712401320d4a0,-56,"171
",,,
05:03.5,e2001d8712461320db93,-51,"171
",,,
05:03.7,e2001d8712401320d4a0,-52,"174
",,,
