, ,RSSI,Unnamed: 0,activity,id,phase,run,time
362,,-52,410,5,1,174,3,16 46 21 54477
363,,-52,411,5,1,174,3,16 46 21 54510
364,,-52,412,5,1,174,3,16 46 21 54544
365,,-52,413,5,1,171,3,16 46 21 54578
366,,-52,414,5,1,174,3,16 46 21 54611
367,,-52,415,5,1,171,3,16 46 22 54644
368,,-52,416,5,1,174,3,16 46 22 54679
369,,-52,417,5,1,171,3,16 46 22 54694
370,,-52,418,5,1,174,3,16 46 22 54744
371,,-58,419,5,2,171,3,16 46 22 54762
372,,-51,420,5,1,174,3,16 46 22 54795
373,,-58,421,5,2,171,3,16 46 22 54845
374,,-52,422,5,1,171,3,16 46 22 54878
375,,-58,423,5,2,171,3,16 46 22 54927
376,,-51,424,5,1,168,3,16 46 22 54961
377,,-51,425,5,1,171,3,16 46 22 55012
378,,-53,426,5,1,168,3,16 46 22 55062
379,,-53,427,5,1,174,3,16 46 22 55095
380,,-52,428,5,1,171,3,16 46 22 55128
381,,-53,429,5,1,171,3,16 46 22 55162
382,,-53,430,5,1,171,3,16 46 22 55195
383,,-52,431,5,1,171,3,16 46 22 55229
384,,-53,432,5,1,171,3,16 46 22 55262
385,,-52,433,5,1,174,3,16 46 22 55294
386,,-52,434,5,1,171,3,16 46 22 55328
387,,-51,435,6,1,174,3,16 46 25 57796
388,,-52,436,6,1,174,3,16 46 25 57828
389,,-51,437,6,1,171,3,16 46 25 57862
390,,-52,438,6,1,171,3,16 46 25 57896
391,,-52,439,6,1,171,3,16 46 25 57927
392,,-52,440,6,1,171,3,16 46 25 57961
393,,-52,441,6,1,174,3,16 46 25 57995
394,,-53,442,6,1,174,3,16 46 25 58028
395,,-52,443,6,1,171,3,16 46 25 58045
396,,-55,444,6,1,174,3,16 46 25 58077
397,,-58,445,6,3,174,3,16 46 25 58095
398,,-58,446,6,3,174,3,16 46 25 58129
399,,-55,447,6,1,174,3,16 46 25 58144
400,,-57,448,6,3,171,3,16 46 25 58177
401,,-56,449,6,1,174,3,16 46 25 58195
402,,-57,450,6,3,171,3,16 46 25 58246
403,,-55,451,6,1,174,3,16 46 25 58262
404,,-55,452,6,3,168,3,16 46 25 58278
405,,-55,453,6,3,174,3,16 46 25 58312
406,,-55,454,6,3,177,3,16 46 25 58328
407,,-55,455,6,3,174,3,16 46 25 58345
408,,-55,456,6,3,168,3,16 46 25 58378
409,,-55,457,6,3,168,3,16 46 25 58412
410,,-56,458,6,3,174,3,16 46 25 58446
411,,-56,459,6,3,168,3,16 46 25 58495
412,,-57,460,6,3,174,3,16 46 25 58561
413,,-57,461,6,3,171,3,16 46 26 58628
414,,-57,462,6,2,174,3,16 46 26 58662
415,,-57,463,6,1,171,3,16 46 26 58695
416,,-57,464,6,2,171,3,16 46 26 58712
417,,-57,465,6,2,174,3,16 46 26 58778
418,,-55,466,6,1,171,3,16 46 26 58795
419,,-55,467,6,1,174,3,16 46 26 58812
420,,-55,468,6,1,171,3,16 46 26 58845
421,,-55,469,6,1,174,3,16 46 26 58879
422,,-55,470,6,1,174,3,16 46 26 58928
423,,-53,471,6,1,177,3,16 46 26 58945
424,,-53,472,6,1,174,3,16 46 26 58979
425,,-52,473,6,1,174,3,16 46 26 59011
426,,-55,474,6,1,171,3,16 46 26 59028
427,,-55,475,6,1,168,3,16 46 26 59062
428,,-55,476,6,1,174,3,16 46 26 59095
429,,-57,477,6,3,171,3,16 46 26 59112
430,,-57,478,6,3,174,3,16 46 26 59162
431,,-55,479,6,1,171,3,16 46 26 59179
432,,-56,480,6,1,171,3,16 46 26 59195
433,,-56,481,6,3,171,3,16 46 26 59212
434,,-55,482,6,3,171,3,16 46 26 59244
435,,-55,483,6,1,174,3,16 46 26 59262
436,,-55,484,6,3,171,3,16 46 26 59312
437,,-55,485,6,1,174,3,16 46 26 59327
438,,-55,486,6,1,174,3,16 46 26 59345
439,,-53,487,6,3,171,3,16 46 26 59362
440,,-53,488,6,3,171,3,16 46 26 59378
441,,-55,489,6,1,174,3,16 46 26 59394
442,,-52,490,6,3,174,3,16 46 26 59412
443,,-57,491,6,1,174,3,16 46 26 59428
444,,-52,492,6,3,168,3,16 46 26 59445
445,,-57,493,6,1,171,3,16 46 26 59476
446,,-52,494,6,3,168,3,16 46 26 59513
447,,-57,495,6,1,168,3,16 46 26 59529
448,,-52,496,6,3,174,3,16 46 26 59563
449,,-51,497,6,3,171,3,16 46 27 59629
450,,-56,498,6,1,171,3,16 46 27 59662
451,,-52,499,6,3,171,3,16 46 27 59678
452,,-52,500,6,3,174,3,16 46 27 59695
453,,-56,501,6,1,171,3,16 46 27 59712
454,,-52,502,6,3,174,3,16 46 27 59745
455,,-55,503,6,1,174,3,16 46 27 59760
456,,-52,504,6,3,171,3,16 46 27 59779
457,,-57,505,6,1,171,3,16 46 27 59795
458,,-52,506,6,3,174,3,16 46 27 59845
459,,-55,507,6,1,171,3,16 46 27 59862
460,,-51,508,6,3,174,3,16 46 27 59878
461,,-55,509,6,1,165,3,16 46 27 59895
462,,-52,510,6,3,171,3,16 46 27 59912
463,,-56,511,6,1,168,3,16 46 27 59927
464,,-52,512,6,3,171,3,16 46 27 59962
465,,-57,513,6,1,171,3,16 46 27 59978
466,,-56,514,6,1,171,3,16 46 27 60045
467,,-56,515,6,1,174,3,16 46 27 60063
468,,-56,516,6,1,171,3,16 46 27 60095
469,,-57,517,6,1,180,3,16 46 27 60112
470,,-51,518,6,3,174,3,16 46 27 60128
471,,-51,519,6,3,174,3,16 46 27 60145
472,,-57,520,6,1,168,3,16 46 27 60162
473,,-57,521,6,1,171,3,16 46 27 60212
474,,-51,522,6,3,177,3,16 46 27 60228
475,,-57,523,6,1,171,3,16 46 27 60245
476,,-51,524,6,3,174,3,16 46 27 60261
477,,-57,525,6,1,168,3,16 46 27 60295
478,,-57,526,7,3,168,3,16 46 31 63779
479,,-53,527,7,1,177,3,16 46 31 63796
480,,-57,528,7,3,171,3,16 46 31 63812
481,,-53,529,7,1,171,3,16 46 31 63829
482,,-53,530,7,1,174,3,16 46 31 63846
483,,-57,531,7,3,168,3,16 46 31 63894
484,,-52,532,7,1,177,3,16 46 31 63912
485,,-52,533,7,1,174,3,16 46 31 63944
486,,-52,534,7,1,171,3,16 46 31 63996
487,,-57,535,7,3,171,3,16 46 31 64012
488,,-52,536,7,1,171,3,16 46 31 64029
489,,-52,537,7,1,174,3,16 46 31 64063
490,,-52,538,7,1,174,3,16 46 31 64129
491,,-52,539,7,1,168,3,16 46 31 64163
492,,-52,540,7,1,171,3,16 46 31 64196
493,,-56,541,7,1,171,3,16 46 31 64246
494,,-57,542,7,3,174,3,16 46 31 64263
495,,-57,543,7,1,168,3,16 46 31 64345
496,,-57,544,7,3,171,3,16 46 31 64363
497,,-55,545,7,1,174,3,16 46 31 64379
498,,-57,546,7,2,171,3,16 46 31 64396
499,,-56,547,7,1,174,3,16 46 31 64429
500,,-55,548,7,2,174,3,16 46 31 64445
501,,-55,549,7,2,174,3,16 46 31 64463
502,,-56,550,7,1,171,3,16 46 31 64479
503,,-57,551,7,1,171,3,16 46 31 64512
504,,-55,552,7,2,171,3,16 46 31 64529
505,,-55,553,7,2,171,3,16 46 31 64563
506,,-57,554,7,1,171,3,16 46 31 64579
507,,-55,555,7,2,168,3,16 46 31 64594
508,,-55,556,7,1,174,3,16 46 32 64629
509,,-53,557,7,2,171,3,16 46 32 64646
510,,-56,558,7,2,171,3,16 46 32 64663
