,run,activity,time,id,RSSI,phase
6,0,4,16 31 39 32166,1,-52,174
7,0,4,16 31 39 32181,3,-55,171
8,0,4,16 31 39 32198,1,-52,174
9,0,4,16 31 39 32215,3,-55,171
10,0,4,16 31 39 32215,3,-55,171
11,0,4,16 31 39 32215,3,-55,171
12,0,4,16 31 39 32265,3,-55,171
13,0,4,16 31 39 32282,1,-52,174
14,0,4,16 31 39 32282,1,-52,174
15,0,4,16 31 39 32315,1,-52,174
16,0,4,16 31 39 32330,3,-55,171
17,0,4,16 31 39 32349,3,-55,171
18,0,4,16 31 39 32365,1,-52,171
19,0,4,16 31 39 32365,1,-52,171
20,0,4,16 31 39 32399,3,-55,168
21,0,4,16 31 39 32415,1,-52,177
22,0,4,16 31 39 32415,1,-52,177
23,0,4,16 31 39 32447,3,-55,171
24,0,4,16 31 39 32465,1,-53,174
25,0,4,16 31 39 32499,3,-55,171
26,0,4,16 31 39 32499,3,-55,171
27,0,4,16 31 39 32499,3,-55,171
28,0,4,16 31 39 32549,3,-55,174
29,0,4,16 31 39 32565,1,-53,168
30,0,4,16 31 39 32582,3,-55,174
31,0,4,16 31 39 32598,1,-52,174
32,0,4,16 31 39 32615,1,-53,171
33,0,4,16 31 39 32631,3,-55,168
34,0,4,16 31 39 32649,1,-53,174
35,0,4,16 31 39 32665,3,-55,174
36,0,4,16 31 40 32699,3,-55,174
37,0,4,16 31 40 32715,1,-52,171
38,0,4,16 31 40 32731,3,-55,171
39,0,4,16 31 40 32747,1,-52,174
40,0,4,16 31 40 32764,1,-52,171
41,0,4,16 31 40 32782,3,-55,174
42,0,4,16 31 40 32782,3,-55,174
43,0,4,16 31 40 32815,1,-52,171
44,0,4,16 31 40 32832,3,-56,174
45,0,4,16 31 40 32832,3,-56,174
46,0,4,16 31 40 32865,1,-52,174
47,0,4,16 31 40 32882,3,-55,174
48,0,4,16 31 40 32882,3,-55,174
49,0,4,16 31 40 32932,1,-52,168
50,0,4,16 31 40 32949,3,-55,171
51,0,4,16 31 40 32966,3,-55,174
52,0,4,16 31 40 32982,1,-51,171
53,0,4,16 31 40 32999,3,-55,171
54,0,4,16 31 40 33016,1,-52,174
55,0,4,16 31 40 33016,1,-52,174
