, ,RSSI,Unnamed: 0,activity,id,phase,run,time
838,,-55,886,10,2,174,3,16 46 53 86263
839,,-47,887,10,1,174,3,16 46 53 86312
840,,-53,888,10,2,171,3,16 46 53 86329
841,,-46,889,10,1,174,3,16 46 53 86363
842,,-53,890,10,3,174,3,16 46 53 86379
843,,-47,891,10,1,171,3,16 46 53 86396
844,,-53,892,10,3,174,3,16 46 53 86430
845,,-55,893,10,2,174,3,16 46 53 86447
846,,-47,894,10,1,174,3,16 46 53 86479
847,,-53,895,10,3,174,3,16 46 53 86496
848,,-55,896,10,3,171,3,16 46 53 86546
849,,-49,897,10,1,171,3,16 46 53 86563
850,,-55,898,10,2,174,3,16 46 53 86596
851,,-53,899,10,3,171,3,16 46 53 86612
852,,-55,900,10,3,168,3,16 46 54 86630
853,,-49,901,10,1,174,3,16 46 54 86646
854,,-49,902,10,1,168,3,16 46 54 86679
855,,-55,903,10,3,171,3,16 46 54 86697
856,,-49,904,10,1,174,3,16 46 54 86730
857,,-55,905,10,3,174,3,16 46 54 86747
858,,-56,906,10,2,171,3,16 46 54 86763
859,,-58,907,10,2,174,3,16 46 54 86796
860,,-49,908,10,1,171,3,16 46 54 86813
861,,-49,909,10,1,171,3,16 46 54 86846
862,,-53,910,10,3,171,3,16 46 54 86863
863,,-47,911,10,1,174,3,16 46 54 86879
864,,-57,912,10,2,171,3,16 46 54 86896
865,,-53,913,10,3,174,3,16 46 54 86913
866,,-49,914,10,1,174,3,16 46 54 86929
867,,-57,915,10,2,174,3,16 46 54 86945
868,,-56,916,10,2,171,3,16 46 54 86996
869,,-49,917,10,1,174,3,16 46 54 87013
870,,-49,918,10,1,174,3,16 46 54 87045
871,,-55,919,10,2,171,3,16 46 54 87064
872,,-49,920,10,1,174,3,16 46 54 87080
873,,-52,921,10,3,171,3,16 46 54 87096
874,,-55,922,10,2,168,3,16 46 54 87130
875,,-47,923,10,1,171,3,16 46 54 87164
876,,-52,924,10,3,174,3,16 46 54 87180
877,,-46,925,10,1,174,3,16 46 54 87213
878,,-47,926,10,1,171,3,16 46 54 87246
879,,-51,927,10,3,174,3,16 46 54 87263
880,,-51,928,10,3,174,3,16 46 54 87296
881,,-52,929,10,2,171,3,16 46 54 87313
882,,-53,930,10,2,171,3,16 46 54 87329
883,,-52,931,10,3,171,3,16 46 54 87347
884,,-53,932,10,2,171,3,16 46 54 87380
885,,-51,933,10,3,174,3,16 46 54 87397
886,,-52,934,10,3,168,3,16 46 54 87446
887,,-46,935,10,1,174,3,16 46 54 87463
888,,-55,936,10,2,171,3,16 46 54 87497
889,,-47,937,10,1,174,3,16 46 54 87513
890,,-47,938,10,1,174,3,16 46 54 87546
891,,-52,939,10,3,171,3,16 46 54 87564
892,,-47,940,10,1,171,3,16 46 54 87580
893,,-51,941,10,3,171,3,16 46 54 87597
894,,-47,942,10,1,171,3,16 46 55 87646
895,,-55,943,10,2,174,3,16 46 55 87663
896,,-47,944,10,1,171,3,16 46 55 87696
897,,-52,945,10,3,168,3,16 46 55 87712
898,,-47,946,10,1,174,3,16 46 55 87763
899,,-51,947,10,3,168,3,16 46 55 87780
900,,-47,948,10,1,171,3,16 46 55 87797
901,,-55,949,10,2,174,3,16 46 55 87813
902,,-46,950,10,1,171,3,16 46 55 87846
903,,-52,951,10,2,174,3,16 46 55 87879
904,,-51,952,10,3,174,3,16 46 55 87896
905,,-55,953,10,2,168,3,16 46 55 87929
906,,-46,954,10,1,174,3,16 46 55 87946
907,,-51,955,10,3,171,3,16 46 55 87979
908,,-53,956,10,2,171,3,16 46 55 87996
909,,-51,957,10,3,168,3,16 46 55 88013
910,,-46,958,10,1,174,3,16 46 55 88030
911,,-53,959,10,2,174,3,16 46 55 88063
994,,-55,1042,2,3,168,4,16 47 32 24810
995,,-55,1043,2,3,171,4,16 47 32 24844
996,,-46,1044,2,1,174,4,16 47 32 24860
997,,-52,1045,2,2,174,4,16 47 32 24893
998,,-46,1046,2,1,171,4,16 47 32 24909
999,,-46,1047,2,1,171,4,16 47 32 24926
1000,,-55,1048,2,3,174,4,16 47 32 24943
1001,,-46,1049,2,1,174,4,16 47 32 24977
1002,,-55,1050,2,3,174,4,16 47 32 24994
1003,,-55,1051,2,2,174,4,16 47 32 25043
1004,,-46,1052,2,1,174,4,16 47 32 25060
1005,,-58,1053,2,2,180,4,16 47 32 25094
1006,,-46,1054,2,1,171,4,16 47 32 25110
1007,,-55,1055,2,3,171,4,16 47 32 25127
1008,,-57,1056,2,2,171,4,16 47 32 25143
1009,,-46,1057,2,1,171,4,16 47 32 25161
1010,,-55,1058,2,3,174,4,16 47 32 25193
1011,,-57,1059,2,2,168,4,16 47 32 25211
1012,,-47,1060,2,1,171,4,16 47 32 25244
1013,,-56,1061,2,3,171,4,16 47 32 25260
1014,,-47,1062,2,1,171,4,16 47 32 25292
1015,,-56,1063,2,2,168,4,16 47 32 25327
1016,,-57,1064,2,3,174,4,16 47 32 25360
1017,,-57,1065,2,2,174,4,16 47 32 25392
1018,,-47,1066,2,1,174,4,16 47 32 25409
1019,,-47,1067,2,1,174,4,16 47 32 25443
1020,,-47,1068,2,1,174,4,16 47 32 25477
1021,,-58,1069,2,3,171,4,16 47 32 25510
1022,,-47,1070,2,1,174,4,16 47 33 25560
1023,,-49,1071,2,1,174,4,16 47 33 25593
1024,,-49,1072,2,1,174,4,16 47 33 25626
1025,,-49,1073,2,1,174,4,16 47 33 25661
1026,,-49,1074,2,1,171,4,16 47 33 25676
1027,,-57,1075,2,3,174,4,16 47 33 25693
1028,,-58,1076,2,2,171,4,16 47 33 25710
1029,,-50,1077,2,1,177,4,16 47 33 25727
1030,,-58,1078,2,3,174,4,16 47 33 25744
1031,,-59,1079,2,2,171,4,16 47 33 25777
1032,,-57,1080,2,3,168,4,16 47 33 25811
1033,,-51,1081,2,1,174,4,16 47 33 25826
1034,,-58,1082,2,2,171,4,16 47 33 25843
1035,,-50,1083,2,1,174,4,16 47 33 25893
1036,,-57,1084,2,2,171,4,16 47 33 25910
1037,,-57,1085,2,3,171,4,16 47 33 25926
1038,,-50,1086,2,1,174,4,16 47 33 25942
1039,,-58,1087,2,3,171,4,16 47 33 25960
1040,,-57,1088,2,2,174,4,16 47 33 25977
1041,,-51,1089,2,1,174,4,16 47 33 25994
1042,,-57,1090,2,3,171,4,16 47 33 26027
1043,,-51,1091,2,1,168,4,16 47 33 26060
1044,,-57,1092,2,2,174,4,16 47 33 26077
1045,,-57,1093,2,2,171,4,16 47 33 26092
1046,,-50,1094,2,1,171,4,16 47 33 26109
1047,,-49,1095,2,1,171,4,16 47 33 26127
1048,,-57,1096,2,2,171,4,16 47 33 26143
1049,,-50,1097,2,1,174,4,16 47 33 26160
1050,,-57,1098,2,3,174,4,16 47 33 26177
1051,,-58,1099,2,2,171,4,16 47 33 26194
1052,,-51,1100,2,1,174,4,16 47 33 26226
1053,,-57,1101,2,2,174,4,16 47 33 26259
1054,,-59,1102,2,2,174,4,16 47 33 26294
1055,,-49,1103,2,1,171,4,16 47 33 26310
1056,,-49,1104,2,1,174,4,16 47 33 26326
1057,,-59,1105,2,2,174,4,16 47 33 26343
1058,,-50,1106,2,1,171,4,16 47 33 26359
1059,,-58,1107,2,3,171,4,16 47 33 26394
1060,,-49,1108,2,1,174,4,16 47 33 26426
1061,,-50,1109,2,1,174,4,16 47 33 26493
1062,,-58,1110,2,3,174,4,16 47 33 26526
1063,,-49,1111,2,1,168,4,16 47 33 26544
1064,,-57,1112,2,3,174,4,16 47 34 26576
1065,,-50,1113,2,1,168,4,16 47 34 26593
1066,,-57,1114,2,3,171,4,16 47 34 26610
1067,,-49,1115,2,1,168,4,16 47 34 26626
1068,,-49,1116,2,1,171,4,16 47 34 26660
1069,,-55,1117,2,3,171,4,16 47 34 26677
1070,,-49,1118,2,1,171,4,16 47 34 26710
1071,,-55,1119,2,3,171,4,16 47 34 26727
1072,,-49,1120,2,1,171,4,16 47 34 26743
1073,,-55,1121,2,3,168,4,16 47 34 26760
1074,,-49,1122,2,1,174,4,16 47 34 26777
1075,,-49,1123,2,1,171,4,16 47 34 26810
1076,,-55,1124,2,3,174,4,16 47 34 26826
1077,,-49,1125,2,1,171,4,16 47 34 26843
1078,,-55,1126,2,3,168,4,16 47 34 26860
1079,,-49,1127,2,1,174,4,16 47 34 26876
1080,,-55,1128,2,3,171,4,16 47 34 26894
1081,,-49,1129,2,1,171,4,16 47 34 26911
1082,,-55,1130,2,3,171,4,16 47 34 26944
1083,,-49,1131,2,1,171,4,16 47 34 26977
1084,,-55,1132,2,3,171,4,16 47 34 26994
1085,,-55,1133,2,3,174,4,16 47 34 27027
1086,,-49,1134,2,1,174,4,16 47 34 27060
1087,,-49,1135,2,1,174,4,16 47 34 27077
1088,,-49,1136,2,1,174,4,16 47 34 27111
1089,,-56,1137,2,3,174,4,16 47 34 27143
1090,,-49,1138,2,1,171,4,16 47 34 27160
1091,,-49,1139,2,1,171,4,16 47 34 27176
1092,,-57,1140,2,3,174,4,16 47 34 27194
1093,,-56,1141,2,3,174,4,16 47 34 27210
1094,,-49,1142,2,1,171,4,16 47 34 27227
