, ,run,activity,time,id,RSSI,phase
2825,,4,4,13 44 25 83589,4,-51,174
2828,,4,4,13 44 25 83655,4,-50,174
2834,,4,4,13 44 25 83823,4,-51,174
2835,,4,4,13 44 25 83840,4,-51,171
2839,,4,4,13 44 25 83973,4,-51,174
2842,,4,4,13 44 25 84023,4,-52,171
2843,,4,4,13 44 25 84056,4,-52,174
2846,,4,4,13 44 25 84106,4,-53,174
2849,,4,4,13 44 25 84173,4,-52,171
2851,,4,4,13 44 25 84206,4,-53,174
2853,,4,4,13 44 25 84239,4,-53,174
2856,,4,4,13 44 25 84306,4,-52,174
2858,,4,4,13 44 25 84356,4,-52,171
2860,,4,4,13 44 25 84423,4,-52,174
2862,,4,4,13 44 25 84472,4,-52,171
2863,,4,4,13 44 26 84522,4,-51,174
2864,,4,4,13 44 26 84539,4,-52,174
2866,,4,4,13 44 26 84573,4,-52,174
2869,,4,4,13 44 26 84640,4,-52,174
2871,,4,4,13 44 26 84706,4,-52,171
2872,,4,4,13 44 26 84722,4,-52,174
2874,,4,4,13 44 26 84774,4,-52,174
2878,,4,4,13 44 26 84857,4,-52,171
2882,,4,4,13 44 26 84974,4,-52,174
2886,,4,4,13 44 26 85057,4,-51,171
2887,,4,4,13 44 26 85073,4,-52,174
2891,,4,4,13 44 26 85173,4,-52,174
2893,,4,4,13 44 26 85222,4,-51,171
2895,,4,4,13 44 26 85256,4,-51,171
2899,,4,4,13 44 26 85339,4,-50,174
2902,,4,4,13 44 26 85440,4,-51,174
3051,,4,7,13 44 37 95990,4,-52,174
3053,,4,7,13 44 37 96024,4,-52,171
3057,,4,7,13 44 37 96123,4,-51,171
3061,,4,7,13 44 37 96240,4,-51,174
3064,,4,7,13 44 37 96290,4,-51,174
3066,,4,7,13 44 37 96357,4,-51,174
3068,,4,7,13 44 37 96407,4,-51,171
3070,,4,7,13 44 37 96490,4,-52,174
3074,,4,7,13 44 38 96556,4,-51,174
3077,,4,7,13 44 38 96640,4,-52,174
3079,,4,7,13 44 38 96691,4,-52,171
3081,,4,7,13 44 38 96723,4,-52,168
3083,,4,7,13 44 38 96790,4,-51,171
3084,,4,7,13 44 38 96806,4,-51,171
3085,,4,7,13 44 38 96857,4,-51,171
3091,,4,7,13 44 38 96990,4,-51,174
3093,,4,7,13 44 38 97024,4,-51,168
3096,,4,7,13 44 38 97090,4,-51,174
3098,,4,7,13 44 38 97141,4,-51,171
3099,,4,7,13 44 38 97156,4,-51,174
3102,,4,7,13 44 38 97223,4,-51,174
3110,,4,7,13 44 38 97440,4,-51,174
3111,,4,7,13 44 38 97473,4,-51,174
3114,,4,7,13 44 39 97523,4,-51,171
3116,,4,7,13 44 39 97590,4,-51,174
3122,,4,7,13 44 39 97723,4,-52,171
3125,,4,7,13 44 39 97807,4,-51,174
3129,,4,7,13 44 39 97907,4,-51,171
3280,,4,10,13 44 51 110124,4,-49,171
3282,,4,10,13 44 51 110157,4,-49,174
3285,,4,10,13 44 51 110224,4,-49,168
3289,,4,10,13 44 51 110307,4,-49,174
3291,,4,10,13 44 51 110357,4,-49,174
3295,,4,10,13 44 51 110440,4,-49,174
3296,,4,10,13 44 51 110474,4,-49,174
3299,,4,10,13 44 52 110540,4,-49,168
3306,,4,10,13 44 52 110707,4,-49,174
3309,,4,10,13 44 52 110773,4,-49,168
3311,,4,10,13 44 52 110825,4,-49,171
3312,,4,10,13 44 52 110873,4,-49,171
3314,,4,10,13 44 52 110907,4,-49,174
3316,,4,10,13 44 52 110957,4,-49,171
3317,,4,10,13 44 52 110990,4,-49,174
3323,,4,10,13 44 52 111141,4,-49,174
3327,,4,10,13 44 52 111207,4,-49,171
3332,,4,10,13 44 52 111356,4,-49,174
3333,,4,10,13 44 52 111390,4,-49,171
3336,,4,10,13 44 52 111441,4,-49,171
3337,,4,10,13 44 52 111473,4,-49,174
3340,,4,10,13 44 53 111525,4,-49,174
3342,,4,10,13 44 53 111573,4,-49,171
3343,,4,10,13 44 53 111608,4,-50,168
3346,,4,10,13 44 53 111674,4,-50,168
3347,,4,10,13 44 53 111708,4,-50,174
3350,,4,10,13 44 53 111808,4,-51,168
3352,,4,10,13 44 53 111841,4,-50,171
3356,,4,10,13 44 53 111941,4,-51,174
3357,,4,10,13 44 53 111990,4,-51,174
3359,,4,10,13 44 53 112040,4,-50,177
3361,,4,10,13 44 53 112074,4,-50,174
3363,,4,10,13 44 53 112108,4,-50,174
3365,,4,10,13 44 53 112157,4,-49,174
3367,,4,10,13 44 53 112191,4,-50,171
3369,,4,10,13 44 53 112241,4,-49,174
3371,,4,10,13 44 53 112306,4,-49,171
3374,,4,10,13 44 53 112424,4,-50,171
3375,,4,10,13 44 53 112474,4,-50,174
3378,,4,10,13 44 54 112574,4,-50,174
3379,,4,10,13 44 54 112607,4,-49,177
3383,,4,10,13 44 54 112691,4,-51,174
3384,,4,10,13 44 54 112706,4,-49,171
3386,,4,10,13 44 54 112774,4,-49,174
3387,,4,10,13 44 54 112824,4,-49,171
3392,,4,10,13 44 54 112957,4,-49,174
3398,,4,10,13 44 54 113091,4,-49,174
3407,,4,10,13 44 54 113374,4,-49,168
3590,,5,2,13 45 32 22336,4,-49,171
3591,,5,2,13 45 32 22369,4,-49,174
3594,,5,2,13 45 32 22436,4,-49,171
3596,,5,2,13 45 32 22485,4,-49,174
3598,,5,2,13 45 32 22518,4,-49,174
3602,,5,2,13 45 32 22602,4,-49,171
3604,,5,2,13 45 32 22652,4,-49,174
3610,,5,2,13 45 32 22819,4,-49,174
3612,,5,2,13 45 32 22852,4,-49,174
3613,,5,2,13 45 32 22885,4,-49,174
3616,,5,2,13 45 32 22952,4,-49,171
3621,,5,2,13 45 33 23103,4,-49,174
3623,,5,2,13 45 33 23169,4,-49,174
3625,,5,2,13 45 33 23202,4,-49,171
3628,,5,2,13 45 33 23269,4,-47,174
3629,,5,2,13 45 33 23335,4,-49,174
3630,,5,2,13 45 33 23403,4,-49,171
3633,,5,2,13 45 33 23469,4,-49,174
3634,,5,2,13 45 33 23486,4,-49,168
3638,,5,2,13 45 33 23569,4,-49,174
3642,,5,2,13 45 33 23669,4,-49,171
3645,,5,2,13 45 33 23719,4,-49,168
3647,,5,2,13 45 33 23752,4,-49,174
3649,,5,2,13 45 33 23818,4,-49,171
3651,,5,2,13 45 33 23869,4,-49,174
